# 1:t 2:pos.x 3:pos.y 4:pos.z 5:volume 6:rho 7:vel.x 8:vel.y 9:vel.z 10:p 11:a 12:mu 13:k 14:mu_t 15:k_t 16:S 17:tke 18:omega 19:massf[0]-H2 20:massf[1]-O2 21:massf[2]-N2 22:dt_chem 23:u 24:T 
1.050000000000000138e-08 3.010000000000001216e-02 1.145859598586127827e-02 0.000000000000000000e+00 1.443546940761607553e-07 5.243941238094913804e-03 -6.992584290154707738e-10 6.534305015228214686e-21 0.000000000000000000e+00 3.844999858690350152e+02 3.203243642693460060e+02 1.619291388870627808e-05 2.290592536472203788e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.200000000000000566e-01 7.800000000000000266e-01 -1.000000000000000000e+00 -1.180062125237041182e+05 2.539999905178938491e+02
2.175000000000000285e-08 3.010000000000001216e-02 1.145859598586127827e-02 0.000000000000000000e+00 1.443546940761607553e-07 5.243941248505674599e-03 -7.556565813877266683e-09 1.799881759287801517e-20 0.000000000000000000e+00 3.844999878275533547e+02 3.203243647660586362e+02 1.619291392936977861e-05 2.290592542478486413e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.200000000000000011e-01 7.799999999999999156e-01 -1.000000000000000000e+00 -1.180062119530585187e+05 2.539999913074230449e+02
3.075000000000000734e-08 3.010000000000001216e-02 1.145859598586127827e-02 0.000000000000000000e+00 1.443546940761607553e-07 5.243941261599167902e-03 -2.182569920563559782e-08 3.913986283330361275e-20 0.000000000000000000e+00 3.844999903146158999e+02 3.203243654006831207e+02 1.619291398132348633e-05 2.290592550152407286e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.200000000000000844e-01 7.799999999999999156e-01 -1.000000000000000000e+00 -1.180062112239736016e+05 2.539999923161644233e+02
4.087500000000000040e-08 3.010000000000001216e-02 1.145859598586127827e-02 0.000000000000000000e+00 1.443546940761607553e-07 5.243941280782283935e-03 -5.078754696965521250e-08 2.227885670687377581e-20 0.000000000000000000e+00 3.844999939951200645e+02 3.203243663457326420e+02 1.619291405869019502e-05 2.290592561580010247e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.199999999999999734e-01 7.799999999999999156e-01 -1.000000000000000000e+00 -1.180062101382585970e+05 2.539999938183290737e+02
5.100000000000000669e-08 3.010000000000001216e-02 1.145859598586127827e-02 0.000000000000000000e+00 1.443546940761607553e-07 5.243941304057734079e-03 -9.636825588755283786e-08 -3.304858055423483354e-20 0.000000000000000000e+00 3.844999985105704354e+02 3.203243675130798351e+02 1.619291415425536931e-05 2.290592575695650501e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.200000000000000011e-01 7.799999999999999156e-01 -1.000000000000000000e+00 -1.180062087971581641e+05 2.539999956738379012e+02
6.112500000000001298e-08 3.010000000000001216e-02 1.145859598586127827e-02 0.000000000000000000e+00 1.443546940761607553e-07 5.243941331027875477e-03 -1.621381747436991247e-07 -6.263235115115933548e-20 0.000000000000000000e+00 3.845000038078142097e+02 3.203243688927516928e+02 1.619291426720256431e-05 2.290592592378733888e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.200000000000000289e-01 7.799999999999999156e-01 -1.000000000000000000e+00 -1.180062072121296369e+05 2.539999978668387541e+02
7.125000000000001928e-08 3.010000000000001216e-02 1.145859598586127827e-02 0.000000000000000000e+00 1.443546940761607553e-07 5.243941361153504031e-03 -2.505653755896623083e-07 1.127921228170642919e-19 0.000000000000000000e+00 3.845000098041241472e+02 3.203243704667979728e+02 1.619291439606225917e-05 2.290592611412206950e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 3.836374957585868292e-145 2.200000000000000289e-01 7.800000000000000266e-01 -1.000000000000000000e+00 -1.180062054037951020e+05 2.540000003687995331e+02
8.137500000000001233e-08 3.010000000000001216e-02 1.145859598586127827e-02 0.000000000000000000e+00 1.443546940761607553e-07 5.243941393745380278e-03 -3.612720521206144583e-07 -3.919338102749056494e-19 0.000000000000000000e+00 3.845000163757902669e+02 3.203243722048081281e+02 1.619291453834490209e-05 2.290592632428340575e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 5.275015531053144212e-145 2.200000000000000011e-01 7.800000000000000266e-01 -1.000000000000000000e+00 -1.180062034070916125e+05 2.540000031313822717e+02
9.150000000000000539e-08 3.010000000000001216e-02 1.145859598586127827e-02 0.000000000000000000e+00 1.443546940761607553e-07 5.243941428608773700e-03 -4.972629355263983657e-07 -3.651505786060459069e-18 0.000000000000000000e+00 3.845000235106185755e+02 3.203243741076481683e+02 1.619291469412139311e-05 2.290592655437609024e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 1.262239869098189008e-142 2.199999999999999456e-01 7.799999999999999156e-01 -1.000000000000000000e+00 -1.180062012210240646e+05 2.540000061559637459e+02
1.016249999999999984e-07 3.010000000000001216e-02 1.145859598586127827e-02 0.000000000000000000e+00 1.443546940761607553e-07 5.243941465305570343e-03 -6.598284762438459396e-07 -3.986577326254578548e-17 0.000000000000000000e+00 3.845000311414316911e+02 3.203243761607499209e+02 1.619291486219909289e-05 2.290592680263852168e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 1.133929717135164587e-141 2.200000000000000011e-01 7.800000000000000266e-01 -1.000000000000000000e+00 -1.180061988623292418e+05 2.540000094193875100e+02
