# t = 3.00061e-05
# 1:pos.x 2:pos.y 3:pos.z 4:area 5:q_total 6:q_cond 7:q_diff 8:tau 9:l_tau 10:m_tau 11:n_tau 12:sigma 13:n.x 14:n.y 15:n.z 16:T 17:Re_wall 18:y+ 19:cellWidthNormalToSurface
7.9966255185788624e-04 3.9171613273411530e-03 0.0000000000000000e+00 7.6912047291281714e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.9143195676942961e+05 9.2007808433459437e-01 -3.9173501085195733e-01 0.0000000000000000e+00 4.8321164956410047e+02 0.0000000000000000e+00 0.0000000000000000e+00 5.3907193556975573e-05
8.7834434528891430e-04 4.0970428532028447e-03 0.0000000000000000e+00 8.0443956055758243e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.8471667235826061e+05 9.1220952579746517e-01 -4.0972403034770100e-01 0.0000000000000000e+00 4.8026185136042426e+02 0.0000000000000000e+00 0.0000000000000000e+00 5.5047077238961758e-05
9.6054271061348732e-04 4.2753448910538509e-03 0.0000000000000000e+00 8.3944852143853924e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.7915557861267362e+05 9.0398929312344400e-01 -4.2755509343028048e-01 0.0000000000000000e+00 4.7770989808469608e+02 0.0000000000000000e+00 0.0000000000000000e+00 5.6313912117105296e-05
1.0462259587970537e-03 4.4519987020644443e-03 0.0000000000000000e+00 8.7413385893483831e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.7379473218972847e+05 8.9542055536869924e-01 -4.4522132588546365e-01 0.0000000000000000e+00 4.7520539053863934e+02 0.0000000000000000e+00 0.0000000000000000e+00 5.7705314026494089e-05
1.1353610573163850e-03 4.6269361828277216e-03 0.0000000000000000e+00 9.0848220118863930e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.6727696066469309e+05 8.8650661594474722e-01 -4.6271591704434839e-01 0.0000000000000000e+00 4.7224671097170165e+02 0.0000000000000000e+00 0.0000000000000000e+00 5.9217785357032200e-05
1.2279136428942385e-03 4.8000898916147625e-03 0.0000000000000000e+00 9.4248030626011355e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.5973769958462950e+05 8.7725091134492383e-01 -4.8003212240901189e-01 0.0000000000000000e+00 4.6887525007488944e+02 0.0000000000000000e+00 0.0000000000000000e+00 6.0846889290929924e-05
1.3238480347470549e-03 4.9713930743746975e-03 0.0000000000000000e+00 9.7611506723261979e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.5239298344173824e+05 8.6765700981954341e-01 -4.9716326625265544e-01 0.0000000000000000e+00 4.6554722860423618e+02 0.0000000000000000e+00 0.0000000000000000e+00 6.2587426251412153e-05
1.4231272483405805e-03 5.1407796904696674e-03 0.0000000000000000e+00 1.0093735172654737e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.4577311707158940e+05 8.5772861000026845e-01 -5.1410274419322777e-01 0.0000000000000000e+00 4.6248123473989193e+02 0.0000000000000000e+00 0.0000000000000000e+00 6.4433603364284694e-05
1.5257130096481067e-03 5.3081844381347460e-03 0.0000000000000000e+00 1.0422428345931459e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.4000062750918255e+05 8.4746953947424009e-01 -5.3084402573950040e-01 0.0000000000000000e+00 4.5975142671236472e+02 0.0000000000000000e+00 0.0000000000000000e+00 6.6379190186949857e-05
1.6315657699058411e-03 5.4735427796530137e-03 0.0000000000000000e+00 1.0747103474680573e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.3491931767601572e+05 8.3688375330840714e-01 -5.4738065680879988e-01 0.0000000000000000e+00 4.5730963888815978e+02 0.0000000000000000e+00 0.0000000000000000e+00 6.8417656439502032e-05
1.7406447208597054e-03 5.6367909662360730e-03 0.0000000000000000e+00 1.1067635390459936e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.3014124997709785e+05 8.2597533252487576e-01 -5.6370626221501297e-01 0.0000000000000000e+00 4.5500106610769518e+02 0.0000000000000000e+00 0.0000000000000000e+00 7.0542289679597790e-05
1.8529078104976948e-03 5.7978660626004271e-03 0.0000000000000000e+00 1.1383900522114117e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.2542641848539293e+05 8.1474848252748400e-01 -5.7981454812652122e-01 0.0000000000000000e+00 4.5273507326523691e+02 0.0000000000000000e+00 0.0000000000000000e+00 7.2746292630363596e-05
1.9683117592617276e-03 5.9567059712302226e-03 0.0000000000000000e+00 1.1695776943414650e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.2061928192922560e+05 8.0320753148064727e-01 -5.9569930449243025e-01 0.0000000000000000e+00 4.5048530737878360e+02 0.0000000000000000e+00 0.0000000000000000e+00 7.5022861147486437e-05
2.0868120767327403e-03 6.1132494563170279e-03 0.0000000000000000e+00 1.2003144420064178e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.1560253829655086e+05 7.9135692864066032e-01 -6.1135440743681646e-01 0.0000000000000000e+00 4.4820763914799767e+02 0.0000000000000000e+00 0.0000000000000000e+00 7.7365244627591271e-05
2.2083630787825908e-03 6.2674361673673981e-03 0.0000000000000000e+00 1.2305884456049247e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.1044652944800205e+05 7.7920124264051804e-01 -6.2677382161946771e-01 0.0000000000000000e+00 4.4588979752653944e+02 0.0000000000000000e+00 0.0000000000000000e+00 7.9766791091106585e-05
2.3329179051861603e-03 6.4192066624691457e-03 0.0000000000000000e+00 1.2603880339323621e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.0511568533322489e+05 7.6674515972855939e-01 -6.4195160256270567e-01 0.0000000000000000e+00 4.4347570719047877e+02 0.0000000000000000e+00 0.0000000000000000e+00 8.2220979311689056e-05
2.4604285376868614e-03 6.5685024312073272e-03 0.0000000000000000e+00 1.2897017186801213e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.9956240667103918e+05 7.5399348196187221e-01 -6.5688189894303817e-01 0.0000000000000000e+00 4.4091842558222720e+02 0.0000000000000000e+00 0.0000000000000000e+00 8.4721440301215766e-05
