# t = 7.00039e-05
# 1:pos.x 2:pos.y 3:pos.z 4:area 5:q_total 6:q_cond 7:q_diff 8:tau 9:l_tau 10:m_tau 11:n_tau 12:sigma 13:n.x 14:n.y 15:n.z 16:T 17:Re_wall 18:y+ 19:cellWidthNormalToSurface
7.9966255185788624e-04 3.9171613273411530e-03 0.0000000000000000e+00 7.6912047291281714e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.8591162888198899e+05 9.2007808433459437e-01 -3.9173501085195733e-01 0.0000000000000000e+00 2.3063258650196381e+03 0.0000000000000000e+00 0.0000000000000000e+00 5.3907193556975573e-05
8.7834434528891430e-04 4.0970428532028447e-03 0.0000000000000000e+00 8.0443956055758243e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.7848147054320446e+05 9.1220952579746517e-01 -4.0972403034770100e-01 0.0000000000000000e+00 2.2933184880235453e+03 0.0000000000000000e+00 0.0000000000000000e+00 5.5047077238961758e-05
9.6054271061348732e-04 4.2753448910538509e-03 0.0000000000000000e+00 8.3944852143853924e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.7083086829193926e+05 9.0398929312344400e-01 -4.2755509343028048e-01 0.0000000000000000e+00 2.2796737836786156e+03 0.0000000000000000e+00 0.0000000000000000e+00 5.6313912117105296e-05
1.0462259587970537e-03 4.4519987020644443e-03 0.0000000000000000e+00 8.7413385893483831e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.6299621710253990e+05 8.9542055536869924e-01 -4.4522132588546365e-01 0.0000000000000000e+00 2.2654540261895208e+03 0.0000000000000000e+00 0.0000000000000000e+00 5.7705314026494089e-05
1.1353610573163850e-03 4.6269361828277216e-03 0.0000000000000000e+00 9.0848220118863930e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.5500219913815329e+05 8.8650661594474722e-01 -4.6271591704434839e-01 0.0000000000000000e+00 2.2507055579947551e+03 0.0000000000000000e+00 0.0000000000000000e+00 5.9217785357032200e-05
1.2279136428942385e-03 4.8000898916147625e-03 0.0000000000000000e+00 9.4248030626011355e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.4686998798706388e+05 8.7725091134492383e-01 -4.8003212240901189e-01 0.0000000000000000e+00 2.2354527422910605e+03 0.0000000000000000e+00 0.0000000000000000e+00 6.0846889290929924e-05
1.3238480347470549e-03 4.9713930743746975e-03 0.0000000000000000e+00 9.7611506723261979e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.3862339985988609e+05 8.6765700981954341e-01 -4.9716326625265544e-01 0.0000000000000000e+00 2.2197328422080141e+03 0.0000000000000000e+00 0.0000000000000000e+00 6.2587426251412153e-05
1.4231272483405805e-03 5.1407796904696674e-03 0.0000000000000000e+00 1.0093735172654737e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.3029864721099596e+05 8.5772861000026845e-01 -5.1410274419322777e-01 0.0000000000000000e+00 2.2035979414519293e+03 0.0000000000000000e+00 0.0000000000000000e+00 6.4433603364284694e-05
1.5257130096481067e-03 5.3081844381347460e-03 0.0000000000000000e+00 1.0422428345931459e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.2190479226479941e+05 8.4746953947424009e-01 -5.3084402573950040e-01 0.0000000000000000e+00 2.1870482358999066e+03 0.0000000000000000e+00 0.0000000000000000e+00 6.6379190186949857e-05
1.6315657699058411e-03 5.4735427796530137e-03 0.0000000000000000e+00 1.0747103474680573e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.1344909618598421e+05 8.3688375330840714e-01 -5.4738065680879988e-01 0.0000000000000000e+00 2.1700785580798724e+03 0.0000000000000000e+00 0.0000000000000000e+00 6.8417656439502032e-05
1.7406447208597054e-03 5.6367909662360730e-03 0.0000000000000000e+00 1.1067635390459936e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.0492088808411348e+05 8.2597533252487576e-01 -5.6370626221501297e-01 0.0000000000000000e+00 2.1526729016059344e+03 0.0000000000000000e+00 0.0000000000000000e+00 7.0542289679597790e-05
1.8529078104976948e-03 5.7978660626004271e-03 0.0000000000000000e+00 1.1383900522114117e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.9640368985369528e+05 8.1474848252748400e-01 -5.7981454812652122e-01 0.0000000000000000e+00 2.1349801591905530e+03 0.0000000000000000e+00 0.0000000000000000e+00 7.2746292630363596e-05
1.9683117592617276e-03 5.9567059712302226e-03 0.0000000000000000e+00 1.1695776943414650e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.8773665661217790e+05 8.0320753148064727e-01 -5.9569930449243025e-01 0.0000000000000000e+00 2.1166219350999845e+03 0.0000000000000000e+00 0.0000000000000000e+00 7.5022861147486437e-05
2.0868120767327403e-03 6.1132494563170279e-03 0.0000000000000000e+00 1.2003144420064178e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.7861182749810896e+05 7.9135692864066032e-01 -6.1135440743681646e-01 0.0000000000000000e+00 2.0969040286731315e+03 0.0000000000000000e+00 0.0000000000000000e+00 7.7365244627591271e-05
2.2083630787825908e-03 6.2674361673673981e-03 0.0000000000000000e+00 1.2305884456049247e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.6870384701205982e+05 7.7920124264051804e-01 -6.2677382161946771e-01 0.0000000000000000e+00 2.0750026395114742e+03 0.0000000000000000e+00 0.0000000000000000e+00 7.9766791091106585e-05
2.3329179051861603e-03 6.4192066624691457e-03 0.0000000000000000e+00 1.2603880339323621e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.5791279610788196e+05 7.6674515972855939e-01 -6.4195160256270567e-01 0.0000000000000000e+00 2.0505622277904727e+03 0.0000000000000000e+00 0.0000000000000000e+00 8.2220979311689056e-05
2.4604285376868614e-03 6.5685024312073272e-03 0.0000000000000000e+00 1.2897017186801213e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.4734598145506807e+05 7.5399348196187221e-01 -6.5688189894303817e-01 0.0000000000000000e+00 2.0260049512270966e+03 0.0000000000000000e+00 0.0000000000000000e+00 8.4721440301215766e-05
2.5908458185085882e-03 6.7152659172211174e-03 0.0000000000000000e+00 1.3185181988647276e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.3755981234768941e+05 7.4095112535495622e-01 -6.7155895484702144e-01 0.0000000000000000e+00 2.0025574637218890e+03 0.0000000000000000e+00 0.0000000000000000e+00 8.7261970271242627e-05
2.7241194693069788e-03 6.8594405403928889e-03 0.0000000000000000e+00 1.3468263651845621e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.2817045364281174e+05 7.2762311798457791e-01 -6.8597711199018963e-01 0.0000000000000000e+00 1.9794052556117335e+03 0.0000000000000000e+00 0.0000000000000000e+00 8.9836536938397741e-05
2.8601981105526690e-03 7.0009707186609177e-03 0.0000000000000000e+00 1.3746153043025459e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.1905959255045652e+05 7.1401459805126566e-01 -7.0013081189852633e-01 0.0000000000000000e+00 1.9562884880097840e+03 0.0000000000000000e+00 0.0000000000000000e+00 9.2439280764876206e-05
