# t = 2.00038e-05
# 1:pos.x 2:pos.y 3:pos.z 4:area 5:q_total 6:q_cond 7:q_diff 8:tau 9:l_tau 10:m_tau 11:n_tau 12:sigma 13:n.x 14:n.y 15:n.z 16:T 17:Re_wall 18:y+ 19:cellWidthNormalToSurface
7.9966255185788624e-04 3.9171613273411530e-03 0.0000000000000000e+00 7.6912047291281714e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.8897778583545308e+05 9.2007808433459437e-01 -3.9173501085195733e-01 0.0000000000000000e+00 4.7488940676172183e+02 0.0000000000000000e+00 0.0000000000000000e+00 5.3907193556975573e-05
8.7834434528891430e-04 4.0970428532028447e-03 0.0000000000000000e+00 8.0443956055758243e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.8348372527702735e+05 9.1220952579746517e-01 -4.0972403034770100e-01 0.0000000000000000e+00 4.7240851540784462e+02 0.0000000000000000e+00 0.0000000000000000e+00 5.5047077238961758e-05
9.6054271061348732e-04 4.2753448910538509e-03 0.0000000000000000e+00 8.3944852143853924e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.7790959502569208e+05 9.0398929312344400e-01 -4.2755509343028048e-01 0.0000000000000000e+00 4.6992836953171314e+02 0.0000000000000000e+00 0.0000000000000000e+00 5.6313912117105296e-05
1.0462259587970537e-03 4.4519987020644443e-03 0.0000000000000000e+00 8.7413385893483831e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.7216130629446241e+05 8.9542055536869924e-01 -4.4522132588546365e-01 0.0000000000000000e+00 4.6745438837337122e+02 0.0000000000000000e+00 0.0000000000000000e+00 5.7705314026494089e-05
1.1353610573163850e-03 4.6269361828277216e-03 0.0000000000000000e+00 9.0848220118863930e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.6621216850690544e+05 8.8650661594474722e-01 -4.6271591704434839e-01 0.0000000000000000e+00 4.6494824351476905e+02 0.0000000000000000e+00 0.0000000000000000e+00 5.9217785357032200e-05
1.2279136428942385e-03 4.8000898916147625e-03 0.0000000000000000e+00 9.4248030626011355e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.6014690233721858e+05 8.7725091134492383e-01 -4.8003212240901189e-01 0.0000000000000000e+00 4.6249762212945353e+02 0.0000000000000000e+00 0.0000000000000000e+00 6.0846889290929924e-05
1.3238480347470549e-03 4.9713930743746975e-03 0.0000000000000000e+00 9.7611506723261979e-07 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.5406375605165982e+05 8.6765700981954341e-01 -4.9716326625265544e-01 0.0000000000000000e+00 4.6005613764308441e+02 0.0000000000000000e+00 0.0000000000000000e+00 6.2587426251412153e-05
1.4231272483405805e-03 5.1407796904696674e-03 0.0000000000000000e+00 1.0093735172654737e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.4800959775833151e+05 8.5772861000026845e-01 -5.1410274419322777e-01 0.0000000000000000e+00 4.5762538175125638e+02 0.0000000000000000e+00 0.0000000000000000e+00 6.4433603364284694e-05
1.5257130096481067e-03 5.3081844381347460e-03 0.0000000000000000e+00 1.0422428345931459e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.4233964209730836e+05 8.4746953947424009e-01 -5.3084402573950040e-01 0.0000000000000000e+00 4.5537209122997825e+02 0.0000000000000000e+00 0.0000000000000000e+00 6.6379190186949857e-05
1.6315657699058411e-03 5.4735427796530137e-03 0.0000000000000000e+00 1.0747103474680573e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.3736704308459256e+05 8.3688375330840714e-01 -5.4738065680879988e-01 0.0000000000000000e+00 4.5343260966626661e+02 0.0000000000000000e+00 0.0000000000000000e+00 6.8417656439502032e-05
