# t = 2.00038e-05
# 1:pos.x 2:pos.y 3:pos.z 4:area 5:q_total 6:q_cond 7:q_diff 8:tau 9:l_tau 10:m_tau 11:n_tau 12:sigma 13:n.x 14:n.y 15:n.z 16:T 17:Re_wall 18:y+ 19:cellWidthNormalToSurface
6.2642303387788027e-03 9.2754723363504526e-03 0.0000000000000000e+00 1.8212054785770181e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 9.9579906263982077e+04 3.7359497005251480e-01 -9.2759193525572470e-01 0.0000000000000000e+00 3.1859502236989164e+02 0.0000000000000000e+00 0.0000000000000000e+00 1.4471845752696367e-04
6.4470622152167879e-03 9.3470313534064400e-03 0.0000000000000000e+00 1.8352558330148072e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.0147297657870413e+05 3.5531090128041926e-01 -9.3474818182829122e-01 0.0000000000000000e+00 3.2015281796902332e+02 0.0000000000000000e+00 0.0000000000000000e+00 1.4672301432355471e-04
6.6312638168040689e-03 9.4149869119468134e-03 0.0000000000000000e+00 1.8485986613933285e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.0432935076796207e+05 3.3688985339221977e-01 -9.4154406518302092e-01 0.0000000000000000e+00 3.2254189273232697e+02 0.0000000000000000e+00 0.0000000000000000e+00 1.4865293846185907e-04
6.8167641303167959e-03 9.4793128138101583e-03 0.0000000000000000e+00 1.8612288197981542e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.0904556766255655e+05 3.1833892805254610e-01 -9.4797696537751164e-01 0.0000000000000000e+00 3.2649437101586511e+02 0.0000000000000000e+00 0.0000000000000000e+00 1.5050454186149597e-04
7.0034916418529507e-03 9.5399842601368127e-03 0.0000000000000000e+00 1.8731414390628799e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.1586122135929675e+05 2.9966527699625700e-01 -9.5404440240628041e-01 0.0000000000000000e+00 3.3204865012544428e+02 0.0000000000000000e+00 0.0000000000000000e+00 1.5227417531910256e-04
7.1913743644023160e-03 9.5969778609292806e-03 0.0000000000000000e+00 1.8843319266459438e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.2434364974244394e+05 2.8087609927128626e-01 -9.5974403715685908e-01 0.0000000000000000e+00 3.3865695195819671e+02 0.0000000000000000e+00 0.0000000000000000e+00 1.5395822839345944e-04
7.3803398655988388e-03 9.6502716440695357e-03 0.0000000000000000e+00 1.8947959684014384e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.3387768279741934e+05 2.6197863846334657e-01 -9.6507367231154484e-01 0.0000000000000000e+00 3.4571867447984266e+02 0.0000000000000000e+00 0.0000000000000000e+00 1.5555312975975403e-04
7.5703152956446852e-03 9.6998450637896839e-03 0.0000000000000000e+00 1.9045295302419748e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.4413027815126395e+05 2.4298017990326484e-01 -9.7003125319454375e-01 0.0000000000000000e+00 3.5293090041181830e+02 0.0000000000000000e+00 0.0000000000000000e+00 1.5705534805207470e-04
7.7612274153952207e-03 9.7456790085927465e-03 0.0000000000000000e+00 1.9135288596941809e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.5501818889957661e+05 2.2388804785849156e-01 -9.7461486856404667e-01 0.0000000000000000e+00 3.6020630531539615e+02 0.0000000000000000e+00 0.0000000000000000e+00 1.5846139321979059e-04
7.9530026245941045e-03 9.7877558086205147e-03 0.0000000000000000e+00 1.9217904873453661e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.6654497830103585e+05 2.0470960270938107e-01 -9.7882275134907204e-01 0.0000000000000000e+00 3.6753022676331346e+02 0.0000000000000000e+00 0.0000000000000000e+00 1.5976781843081794e-04
